COPD_number,Some college or associate's degree 2014-18,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),19-Oct,High school diploma only 2014-18,Employed_2018,Family Medicine/General Practice Primary Care (2019),Active Physicians per 100000 Population 2018 (AAMC),CI90UBINC_2018,Percent of Population Aged 60+,Median_Household_Income_2018,R_DOMESTIC_MIG_2018,Hawaiian/Pacific Islander-alone pop,Bachelor's degree or higher 2014-18,R_INTERNATIONAL_MIG_2018,Total Specialist Physicians (2019),Unemployed_2018,Total physician assistants (2019),anycondition_prevalence,N_POP_CHG_2018,Active Primary Care Physicians per 100000 Population 2018 (AAMC),White-alone pop,diabetes_number,Two or more races pop,GQ_ESTIMATES_2018,CI90LBINC_2018,CKD_prevalence,Less than a high school diploma 2014-18,county_pop2018_18 and older,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),70-79,80+,0-9,Total nurse practitioners (2019),diabetes_prevalence,Heart disease_prevalence,50-59,CKD_number,Active General Surgeons per 100000 Population 2018 (AAMC),COPD_prevalence,POP_ESTIMATE_2018,Obesity_prevalence,Asian-alone pop,20-29,Native American/American Indian-alone pop,Civilian_labor_force_2018,Population Aged 60+,40-49,30-39,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Black-alone pop,R_death_2018,60-69,anycondition_number,R_birth_2018,Heart disease_number,Internal Medicine Primary Care (2019)
2314,5727,87.6,0.383556683,3463,6396,11696,16.04279098,287.0,52834,27.4,50374,350,11,3406,13,54.0788287,760,10.07635369,49.7,167,97.8,25313,2823,447,303,47914,3.8,2546,20545,6.7,2460,1208,3221,11.77305929,13.7,10.1,3831,771,7.9,11.3,26625,38.6,89,2922,428,12456,7218,2831,2829,249.7,237,337,10.0,3860,10213,11.3,2072,19.75050558
4097,9051,88.2,0.796586726,5751,18496,21317,28.83724008,320.5,48504,28.8,45761,162,22,6742,0,107.1469191,1104,22.69271433,46.7,-557,100.8,49662,5416,649,1302,43018,3.5,3913,41304,7.2,4801,2928,5272,28.03264746,13.1,9.2,7885,1454,8.7,9.9,51266,33.2,231,5137,109,22421,15253,5880,5341,273.3,43,593,13.1,8271,19282,9.7,3796,41.53459233
2792,7263,74.4,0.745206054,5118,10860,16245,18.75999787,230.8,58579,21.5,54718,44,18,3984,6,49.14972658,637,4.770447847,47.0,169,80.3,35248,3698,549,5022,50857,2.9,2678,30379,6.1,2713,1561,3915,19.49391292,12.2,7.3,5107,871,6.5,9.2,37779,33.7,394,6202,135,16882,8058,4451,4363,212.0,153,1435,9.2,4349,14283,10.7,2222,14.85331158
5716,21265,68.5,2.915995343,12646,19984,43309,52.7211958,206.7,65432,21.6,61849,43,79,14803,1,108.7549623,1483,30.04641601,46.9,505,73.9,69216,7913,7741,1216,58266,3.0,4804,70506,5.8,6736,3478,11163,26.38392586,11.2,7.8,12774,2118,6.2,8.1,91984,36.5,1370,11595,12403,44792,19479,11444,11357,189.1,155,1175,9.1,10791,33057,10.6,5484,30.76958286
10002,30526,87.6,1.93740423,17666,33106,60219,81.03462274,287.0,51702,23.2,48413,5,61,19318,42,273.1605422,2646,50.89722362,48.0,129,97.8,109628,12987,4721,4326,45124,3.4,8123,103686,6.7,10074,6039,16698,59.46754649,12.5,8.4,17982,3490,7.9,9.6,134487,37.5,4026,17281,1047,62865,31227,15845,15993,249.7,154,15004,10.3,16909,49754,12.0,8686,99.76286363
28886,131509,87.1,8.016435378,60660,84630,562022,339.3698743,279.6,114002,20.7,110601,170,4015,394004,54,1312.350762,13545,176.7858465,23.9,4139,96.2,467444,67258,38888,24235,107200,2.3,79408,764613,6.2,54600,39309,72007,344.1931335,8.8,4.6,107395,17872,7.2,3.8,883305,16.8,317204,151437,6570,575567,179193,120821,183382,243.8,131,49184,7.5,93694,182564,10.2,35077,499.3636333
1669,4124,71.9,0.27980056,2532,5932,8778,6.582066976,228.7,51847,24.7,48708,29,14,1470,3,24.67647977,404,6.419975617,46.1,-237,79.1,14106,2438,246,89,45569,3.9,2659,15759,6.1,1826,800,2435,9.291308264,15.5,9.1,2949,608,7.0,10.6,20299,32.9,136,2443,73,9182,5131,2367,2283,202.9,27,5724,11.4,2664,7266,10.0,1433,9.605842687
128,592,84.8,0.180968789,402,607,1512,1.717616055,240.4,58298,26.7,53107,159,0,372,54,3.04154562,45,1.282655982,40.4,44,92.8,2633,216,51,96,47916,3.1,238,2106,8.6,232,184,361,1.501723464,10.3,7.8,331,64,9.2,6.1,2801,30.4,20,277,76,1557,732,287,350,219.1,96,21,8.6,377,850,15.5,165,1.076288064
31984,109517,88.2,9.761085292,77403,128245,328286,353.3610977,320.5,90234,24.2,88538,46,376,180201,40,1312.939548,12783,278.0683041,39.3,1167,100.8,555198,53389,11071,8038,86842,2.7,27363,499979,7.2,49074,30482,64634,343.5019111,10.7,6.3,99861,13632,8.7,6.4,628195,29.8,32220,70438,1787,341069,151809,78076,73278,273.3,151,27543,9.7,84949,196424,9.3,31557,508.9498542
201,881,82.1,0.084937779,543,1412,1534,2.351326316,244.8,32814,26.0,29515,361,0,391,0,5.995364193,90,1.102119472,48.3,-68,91.1,3927,492,101,573,26216,3.8,677,3436,7.3,348,260,454,2.117229511,14.3,7.6,533,129,7.7,5.8,4341,35.7,54,567,147,1624,1149,457,652,213.8,476,112,11.0,527,1660,10.3,260,2.028148426
18791,64375,87.2,4.169438305,36896,62181,133101,134.9827781,284.4,56104,22.7,53795,355,157,43910,13,476.7875332,8095,55.56278212,42.7,-659,99.6,227365,25818,8148,4743,51486,3.3,23963,217591,5.8,21439,12442,36179,110.6573385,11.9,7.8,38394,7194,7.0,8.6,284081,32.9,8150,35589,1553,141196,65218,34061,34363,240.5,276,38708,9.8,34718,93017,12.5,16890,215.1831502
775,1809,72.9,0.205798404,1243,2480,3919,3.72397112,230.9,62457,22.9,56769,143,1,636,4,12.65366187,170,1.932545013,51.0,-20,77.3,8464,914,99,90,51081,3.3,875,6520,7.6,719,310,1177,5.750595403,14.0,9.8,1202,217,8.3,11.9,8758,38.7,28,1004,31,4089,1996,1121,955,214.6,399,135,9.2,1027,3322,13.1,640,3.87096998
111,516,79.6,0.100158273,260,415,837,1.507510423,237.6,75792,33.4,68243,26,1,245,0,2.319049254,36,0.582972515,48.6,15,87.0,1854,178,30,2,60694,3.3,135,1461,9.7,176,89,269,1.173649512,12.2,8.9,274,48,10.5,7.6,1952,36.9,5,145,54,873,608,185,218,217.1,362,8,2.6,336,710,11.3,130,0.901424461
17475,34460,89.4,5.595993426,20336,50266,78000,124.0112115,263.4,43864,26.4,41926,550,59,33388,3,280.0994566,4263,66.75220729,52.2,-2856,100.1,159858,21166,4421,3338,39988,3.6,15894,144442,9.2,15745,8956,19474,94.1326037,14.7,10.5,24637,5256,10.5,12.1,180454,37.4,2044,21530,301,82263,49628,22063,21389,231.6,390,13771,13.7,26324,75463,10.1,15219,97.53017113
685,2650,77.9,0.447302643,1569,3627,6234,8.191703486,218.2,69497,27.0,64190,17,2,1412,12,15.49259239,173,3.23346741,42.4,-72,84.8,11710,1022,89,95,58883,3.1,645,9149,6.5,1024,708,1486,7.285726099,11.2,8.0,1725,287,6.9,7.5,11964,35.0,42,1242,18,6407,3281,1260,1251,193.1,15,103,9.4,1699,3877,11.6,734,4.844515065
52,165,88.0,0.04354305,108,229,352,0.456424473,247.1,42966,37.6,38782,307,0,148,0,0.895742748,17,0.304023797,41.9,6,91.5,769,80,31,89,34598,3.6,30,651,9.4,85,52,89,0.391887452,12.3,9.1,117,23,9.8,7.9,826,31.5,5,67,14,369,281,72,84,236.2,310,7,2.4,152,273,12.2,59,0.267478737
1575,3732,74.4,0.376794676,2266,6388,8979,9.485520507,230.8,56920,24.4,52332,50,7,2028,0,24.85132156,344,2.412056825,46.3,114,80.3,18188,1963,201,1514,47744,3.2,1434,15089,6.1,1455,913,2114,9.856606172,13.0,8.6,2625,486,6.5,10.4,19102,34.7,95,2440,69,9323,4691,2298,2421,212.0,282,542,9.5,2570,6984,10.4,1293,7.510202965
