COPD_number,Some college or associate's degree 2014-18,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),19-Oct,High school diploma only 2014-18,Employed_2018,Family Medicine/General Practice Primary Care (2019),Active Physicians per 100000 Population 2018 (AAMC),CI90UBINC_2018,Percent of Population Aged 60+,Median_Household_Income_2018,R_DOMESTIC_MIG_2018,Hawaiian/Pacific Islander-alone pop,Bachelor's degree or higher 2014-18,R_INTERNATIONAL_MIG_2018,Total Specialist Physicians (2019),Unemployed_2018,Total physician assistants (2019),anycondition_prevalence,N_POP_CHG_2018,Active Primary Care Physicians per 100000 Population 2018 (AAMC),White-alone pop,diabetes_number,Two or more races pop,GQ_ESTIMATES_2018,CI90LBINC_2018,CKD_prevalence,Less than a high school diploma 2014-18,county_pop2018_18 and older,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),70-79,80+,0-9,Total nurse practitioners (2019),diabetes_prevalence,Heart disease_prevalence,50-59,CKD_number,Active General Surgeons per 100000 Population 2018 (AAMC),COPD_prevalence,POP_ESTIMATE_2018,Obesity_prevalence,Asian-alone pop,20-29,Native American/American Indian-alone pop,Civilian_labor_force_2018,Population Aged 60+,40-49,30-39,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Black-alone pop,R_death_2018,60-69,anycondition_number,R_birth_2018,Heart disease_number,Internal Medicine Primary Care (2019)
1016,3511,87.2,0.194513416,1646,3475,6260,6.297241835,284.4,50226,28.1,45427,15,0,1424,3,22.24318127,351,2.592125314,48.4,-19,99.6,12906,1224,130,305,40628,3.4,940,10213,5.8,1142,706,1649,5.162406876,12.0,8.7,1823,349,7.0,9.9,13253,34.8,114,1518,33,6611,3767,1520,1468,240.5,17,70,13.3,1781,4945,11.8,889,10.03876461
46789,196799,78.1,11.79905582,142049,122374,588987,423.9232198,255.0,66745,15.1,64509,371,1126,315345,109,1578.018367,22686,446.8892392,34.9,16590,86.2,628585,79452,26225,17480,62273,2.6,69881,836188,6.2,52158,27067,143280,496.9298777,9.5,5.4,135184,21952,7.1,5.6,1093901,29.6,69595,167915,8553,611673,156489,153683,173987,223.5,332,359817,6.2,98578,292013,13.6,44960,532.5377426
1751,3996,71.9,0.296782396,3014,5795,8474,6.98155003,228.7,47320,22.6,42768,203,20,1962,47,26.17416059,499,6.809620917,52.0,34,79.1,11944,2736,394,286,38216,4.1,2550,16131,6.1,1777,783,2961,9.855222338,17.0,9.3,2900,667,7.0,10.9,21531,39.0,112,2561,93,8973,4855,2447,2412,202.9,182,8968,12.4,2676,8384,12.7,1501,10.18884669
394,1324,80.5,0.26358155,637,1493,2902,3.392427284,227.6,54404,33.1,49287,231,2,812,2,7.230478052,83,1.577696758,50.4,55,88.0,5298,591,120,66,44170,3.5,402,4389,6.3,565,403,605,3.113675573,13.5,9.1,801,154,6.8,9.0,5521,39.2,31,537,35,2985,1854,516,601,206.5,358,35,13.5,856,2212,10.9,401,2.285005521
497,2731,96.0,0.22169405,1289,2445,5218,6.120152289,302.7,61406,26.8,56528,49,8,1104,9,16.37917539,161,3.163067869,45.4,-50,104.9,9108,823,161,290,51650,3.3,598,7492,6.6,758,665,1241,5.027392639,11.0,7.9,1339,245,7.4,6.6,9795,35.2,62,1053,387,5379,2657,1004,1117,265.0,12,69,11.1,1329,3401,11.7,594,5.612176158
1482,3521,61.2,0.624955048,2545,4634,7926,6.925006948,191.3,40123,22.5,36083,106,9,2167,3,21.3431618,362,0.675456466,56.8,-192,65.9,11705,2225,210,237,32043,3.8,2105,14214,6.7,1409,764,2539,13.16824475,15.7,9.3,2448,544,7.1,10.4,18853,39.5,80,2419,38,8288,4312,2184,2339,174.8,315,6811,12.1,2206,8081,13.0,1327,7.442646483
96,552,79.6,0.097644054,201,406,981,1.469668205,237.6,73795,31.5,66929,71,0,383,0,2.260835415,20,0.568338471,45.5,-6,87.0,1840,164,19,1,60063,3.1,51,1489,9.7,199,110,245,1.144188023,11.0,8.0,268,46,10.5,6.4,1903,34.4,5,210,30,1001,604,187,174,217.1,438,9,6.3,309,678,13.6,119,0.87879649
6018,12986,88.2,1.313002282,11142,24334,36875,47.53200219,320.5,51668,24.4,47999,176,11,12599,39,176.6087039,1906,37.40407002,41.9,-378,100.8,80094,8013,950,4839,44330,3.2,5754,69189,7.2,6986,4221,8201,46.20580391,11.6,8.1,11116,2198,8.7,8.7,84501,30.0,996,14228,152,38781,21114,8666,8603,273.3,349,2298,10.5,11338,28970,9.8,5577,68.46086268
991,4995,88.9,0.289959695,1670,4056,10545,8.871463476,285.7,78749,27.9,72121,204,7,4094,0,23.74737322,314,7.320667804,33.2,636,95.4,17480,1422,479,92,65493,2.9,401,15746,7.1,1660,393,1419,9.431835021,9.0,6.4,3621,451,7.8,6.3,18556,24.8,195,1489,234,10859,4718,2343,2047,262.5,208,161,5.7,3914,5231,6.3,1015,8.154709174
1251,1993,72.9,0.292366264,1611,3527,4724,5.290437163,230.9,41744,20.3,37776,180,5,1232,12,17.97634859,299,2.745458444,55.1,121,77.3,12086,1441,149,188,33808,3.5,1639,9442,7.6,907,376,1659,8.169548756,15.3,10.2,1663,333,8.3,13.3,12442,39.3,28,1496,49,5023,2502,1639,1552,214.6,96,125,11.7,1539,5206,12.6,964,5.499270209
66908,228152,88.2,18.93267838,133548,245191,619110,685.3819852,320.5,61360,24.7,59881,274,441,359564,56,2546.587951,26059,539.3434862,41.7,-2204,100.8,975555,101890,27093,35097,58402,2.9,50463,990703,7.2,92599,63955,126101,666.2590287,10.3,6.8,162808,28884,8.7,6.8,1218452,31.9,49988,169875,1942,645169,303430,135862,171345,273.3,216,163433,11.3,162359,413499,10.5,67212,987.1631703
1638,2998,71.9,0.243948486,1717,4259,6697,5.738677833,228.7,59395,36.1,54016,279,24,3273,13,21.51457406,297,5.597355952,52.2,478,79.1,11175,2595,216,200,48637,4.6,2133,14396,6.1,2643,905,1848,8.100772139,18.0,11.3,2283,661,7.0,11.4,17698,33.5,183,1597,102,6994,6034,1733,1827,202.9,286,5998,13.4,3145,7519,8.8,1623,8.375003886
4873,8401,77.8,0.787451569,5698,13004,19203,17.02264871,253.1,50474,26.8,45566,111,28,4142,39,69.17933223,740,8.162106703,54.9,259,85.1,43930,5697,842,549,40658,3.9,6822,36589,7.4,4677,1893,5062,39.35888366,15.6,10.9,6562,1429,8.1,13.3,46357,39.0,218,5326,298,19943,12263,5574,4966,225.8,174,1041,11.7,6599,20082,10.2,4000,24.56164156
526,2323,80.3,0.386650792,870,1910,4412,5.2384946,239.2,56903,33.4,52086,164,0,1241,8,11.41243466,136,3.417494096,44.8,-57,88.2,7703,797,130,34,47269,3.6,531,6436,6.2,952,530,862,4.34462449,12.4,9.0,1181,229,6.8,8.2,8021,35.6,50,732,61,4548,2712,812,800,214.5,2,77,9.8,1282,2886,11.4,582,3.716836645
1227,2726,71.9,0.193526768,1892,3662,6686,4.552550389,228.7,56507,22.7,51241,188,2,1016,3,17.06772629,240,4.44043833,48.4,154,79.1,10870,1703,256,98,45975,4.0,2015,10700,6.1,1094,516,1753,6.426423372,15.9,9.5,2065,423,7.0,11.5,14040,34.8,39,1531,68,6926,3116,1708,1625,202.9,189,2805,9.8,1856,5175,10.6,1017,6.643974153
193,707,76.2,0.119867691,217,550,1239,1.55414661,207.9,55740,25.2,51036,29,0,292,0,2.248552542,36,0.665472352,41.1,-9,79.8,2258,235,67,242,46332,3.7,209,1964,10.4,211,150,249,1.182143432,12.0,9.2,258,72,10.6,9.8,2388,32.0,11,287,29,1275,625,289,322,199.6,172,23,6.7,405,806,13.0,180,0.545604661
696,2963,91.7,0.131121766,1375,2173,4823,6.295270006,278.8,58423,32.1,53326,522,17,1788,12,15.84435514,246,2.719351409,44.2,161,100.6,10097,1018,301,94,48229,3.7,653,8412,6.1,1205,672,1170,4.328443516,12.1,9.4,1417,312,6.9,8.3,10740,35.0,55,899,210,5069,3325,1137,1042,246.3,552,60,10.9,1823,3714,9.9,792,5.341786729
7884,23986,83.7,2.169053407,18858,24954,67518,60.44279753,292.7,68587,19.8,64282,18,57,26607,40,254.7184264,2843,25.00001762,41.8,164,93.7,121699,10901,2405,6814,59977,2.6,4755,104054,7.1,8323,4885,14289,67.52017282,10.5,6.6,15431,2744,8.3,7.6,130696,33.3,2377,24659,399,70361,25640,14576,14846,248.6,16,3759,8.3,14829,43470,10.4,6897,88.39451669
456,2318,88.0,0.457571037,1101,2394,4513,4.796324973,247.1,61730,24.9,56167,63,3,1356,11,9.412889895,126,3.194826345,45.4,-265,91.5,8189,667,181,498,50604,3.0,378,6796,9.4,641,500,1046,4.118139329,9.8,7.2,1143,201,9.8,6.7,8680,37.1,58,1022,208,4639,2324,958,1027,236.2,129,41,10.0,1242,3086,10.0,490,2.81079351
1416,8138,105.6,0.914480946,3857,4584,16470,25.77965334,276.9,85021,18.2,79173,67,417,8879,27,36.84051812,762,15.06716226,33.2,52,112.8,22071,2135,3093,973,73325,2.5,878,25283,8.5,1843,679,3731,20.90242163,8.4,5.5,4580,621,9.6,5.6,32113,25.0,2257,4374,3809,17232,5907,4195,4853,256.7,64,466,5.3,4001,8394,10.3,1397,9.493183156
1962,3122,80.1,0.170141542,1686,5533,5529,6.492036719,265.2,40809,31.1,37148,222,3,1158,4,22.81856819,244,4.777292238,50.4,64,86.8,14595,2126,294,1761,33487,4.3,2557,13665,6.0,1910,866,1632,9.691011335,15.6,12.6,2470,594,6.9,14.4,16700,31.7,69,1864,97,5773,5078,1868,1983,240.7,162,1642,13.7,2421,6888,8.8,1727,9.091203594
821,2579,87.2,0.158628311,1298,3053,5834,5.135485532,284.4,65365,25.0,60572,165,13,1201,0,18.13961391,246,2.113913106,47.5,-56,99.6,10540,983,114,117,55779,3.3,789,8412,5.8,864,580,1305,4.210012338,11.7,8.5,1541,279,7.0,9.8,10808,32.9,67,1156,20,6080,2730,1277,1266,240.5,152,54,10.2,1521,3997,11.4,718,8.186747748
161,759,79.6,0.157831378,386,660,1616,2.375564581,237.6,67836,28.9,62270,484,4,523,0,3.654403435,31,0.918659557,41.5,-80,87.0,2953,253,26,56,56704,3.1,211,2321,9.7,259,210,419,1.849459989,10.9,8.2,355,73,10.5,6.9,3076,31.6,7,311,77,1647,933,312,358,217.1,487,9,9.9,466,962,11.2,191,1.420482398
2205,3860,75.0,0.780833658,3790,7124,9972,14.95118993,207.6,42938,21.5,39381,121,36,2735,17,32.27150017,473,1.854479938,49.7,253,79.9,24533,2827,583,620,35824,3.6,3565,20125,6.5,2009,1023,3645,11.57940823,14.0,10.1,3527,730,7.0,11.0,26742,36.0,664,3366,313,10445,5619,3048,3317,188.2,120,613,9.3,3017,9997,13.4,2038,7.976925668
3674,12548,66.5,1.042415949,7657,14891,24141,19.15813022,224.8,67003,22.1,60909,37,16,5765,3,67.56370143,1324,11.64595868,45.8,48,72.9,52418,5123,811,411,54815,3.1,4588,43152,5.4,4245,2181,7644,19.73215659,11.9,8.1,7566,1349,6.2,8.5,57207,35.5,393,6707,350,25465,12351,6954,7336,199.9,7,3219,10.0,6917,19766,12.5,3481,21.64557784
1629,3869,71.2,0.393968253,2380,5378,7209,7.286462347,217.1,41900,26.0,37733,42,35,2084,3,24.73808576,380,2.08686154,57.3,-300,77.2,8939,2804,193,254,33566,4.4,2192,14731,6.9,1643,966,2364,9.896014441,19.0,10.2,2571,645,7.6,11.1,19066,44.6,58,2332,46,7589,5124,2260,2075,196.7,39,9795,14.4,2475,8435,12.0,1508,8.913044145
7257,25728,121.5,3.678766851,22113,20373,94732,98.01285967,367.1,78639,19.7,74240,20,65,53882,121,317.9505635,1984,64.90395801,29.3,1681,130.3,148294,10172,3767,10143,69841,2.3,6285,135407,9.9,10358,6127,15435,100.9033193,7.5,5.0,21373,3161,11.7,5.4,164572,22.5,7787,30976,416,96716,31691,18598,21081,322.7,18,4243,6.9,18511,39620,9.1,6752,109.5746983
17473,45761,80.1,1.944554816,20457,49681,67280,74.19775979,265.2,48414,34.5,45884,227,166,23896,56,260.7943724,3185,54.59987324,48.2,4081,86.8,171403,22310,4200,1831,43354,4.0,17202,155908,6.0,24687,13462,18108,110.7589748,14.3,10.8,25762,6178,6.9,11.2,190865,31.7,2757,19544,928,70465,61882,20898,19494,240.7,230,11411,14.8,28453,75198,8.4,16794,103.9037469
862,1475,75.8,0.325766345,1138,2856,3151,3.694767658,260.3,39771,23.8,35812,415,2,785,40,15.44915963,230,1.581410041,55.4,-225,84.1,6496,1167,107,866,31853,3.8,1607,7555,7.8,739,372,1116,4.874124298,15.4,9.6,1223,289,9.1,11.4,9608,42.1,6,1367,47,3381,2388,1110,1282,231.8,108,2950,12.6,1261,4184,12.2,727,5.168963459
2898,5374,89.4,0.890191336,3477,9076,15725,19.72727585,263.4,53044,26.9,48731,348,10,3533,3,44.5572556,649,10.61871093,53.9,-201,100.1,28013,3423,325,180,44418,3.5,2623,22597,9.2,2515,1545,3181,14.97428997,15.1,10.7,4193,797,10.5,12.8,28706,39.0,96,3122,82,16374,7844,3570,3169,231.6,28,180,12.6,3934,12174,9.9,2419,15.51476328
10334,45412,104.7,3.112744819,23156,42529,88577,69.32931641,314.1,60780,26.8,56383,304,26077,41196,32,255.2450751,2728,22.21367893,38.0,1480,118.5,68648,19227,60906,3819,51986,3.4,10552,157430,8.4,17398,9023,24511,58.29322115,12.2,7.8,25710,5422,9.4,6.6,200983,25.4,42587,21808,1134,91305,52582,22960,24757,273.7,29,1631,10.1,31660,59820,11.3,12335,106.8237426
478,2486,79.6,0.524291618,1304,2048,6966,7.891261017,237.6,72550,16.2,67162,387,4,1324,44,12.13936746,112,3.051646083,46.9,-55,87.0,6665,812,305,540,61774,2.7,581,7475,9.7,499,239,1664,6.143622291,10.9,6.6,1225,204,10.5,6.4,10218,37.4,31,1638,3092,7078,1616,1179,1395,217.1,140,121,8.9,1075,3505,17.9,493,4.71862456
1463,2382,75.0,0.481225021,2148,5037,7213,9.214365466,207.6,47232,24.5,42674,128,83,1375,40,19.88881139,213,1.142909426,47.4,132,79.9,15535,1833,302,79,38116,3.7,2242,12577,6.5,1399,683,2112,7.136348328,14.6,10.6,2296,465,7.0,11.6,16481,33.6,133,1840,279,7426,3897,1939,1854,188.2,103,149,8.6,2210,5957,14.8,1336,4.91615107
6234,16350,78.1,0.776046889,8933,14834,32827,27.88225609,255.0,50646,25.9,46342,369,63,8498,2,103.7893424,1206,29.39277593,49.7,-170,86.2,66963,7905,922,817,42038,3.8,10995,56753,6.2,6635,3583,7861,32.68404622,13.9,9.9,10533,2134,7.1,11.0,71948,33.4,522,8334,472,34033,18749,9320,7291,223.5,166,3006,12.1,9458,28202,10.0,5635,35.02604487
1821,6647,101.0,0.385806663,3061,5147,12806,12.51025541,303.4,57307,27.0,52269,316,220,3703,1,38.97279771,578,7.324001906,43.1,184,109.4,24073,2528,664,741,47231,3.4,2556,20634,8.3,2349,1268,3338,13.28819344,12.2,8.4,3216,703,9.2,8.8,26505,31.2,304,3315,1049,13384,6940,2868,3323,271.5,228,195,11.2,3767,8897,12.5,1728,16.24815276
2524,7071,66.5,0.788039271,6403,9883,18401,14.48304679,224.8,56774,18.7,52588,515,44,3914,25,51.07639617,691,8.804041029,49.8,822,72.9,38466,4810,798,3348,48402,3.4,5627,32944,5.4,2649,1441,5430,14.91699575,14.6,7.8,5350,1123,6.2,7.7,43247,37.8,438,6320,673,19092,7589,5276,5675,199.9,409,2828,8.0,4703,16400,13.3,2579,16.36349231
4872,20596,86.4,2.009721225,10481,26242,46962,49.502607,264.9,67907,23.2,63608,32,60,10381,0,138.9729782,1265,27.80366205,43.8,97,94.6,82757,7072,962,6317,59309,3.0,5675,70411,7.1,6330,4196,8777,45.95159582,10.0,7.1,13729,2078,7.9,6.9,87847,37.9,596,10611,514,48227,20377,11138,11345,238.3,131,2958,9.8,11240,30860,8.9,5000,46.11781336
3644,10552,71.2,1.148905321,7637,12119,25015,21.24906079,217.1,65048,19.1,59338,0,62,10291,0,72.14215392,942,6.085785611,47.6,158,77.2,42660,5462,1016,455,53628,3.1,4204,42438,6.9,4050,2014,6787,28.85913663,12.9,7.9,7738,1326,7.6,8.6,55601,35.8,681,6878,267,25957,10523,7582,7089,196.7,0,10915,9.6,5826,20181,11.8,3345,25.99256097
2008,6969,101.0,0.332065928,1800,4846,8399,10.76764598,303.4,52178,42.3,48788,169,36,4349,58,33.5441024,549,6.303808922,47.2,137,109.4,21002,2828,862,302,45398,4.2,1987,19509,8.3,3632,1654,1815,11.43722154,14.5,10.9,3245,816,9.2,10.3,22813,33.0,196,1836,582,8948,9463,2054,1965,271.5,409,135,15.7,4812,9205,7.7,2117,13.98487489
2088,5530,74.4,0.516213834,3311,8082,11850,12.9952922,230.8,57524,24.3,52699,36,12,3061,0,34.04664879,482,3.304550681,49.4,15,80.3,25467,2686,331,341,47874,3.2,1520,20146,6.1,1947,1160,3241,13.50368462,13.3,8.3,3617,643,6.5,10.4,26170,35.8,96,3039,75,12332,6400,3263,3144,212.0,17,189,10.9,3448,9962,11.4,1675,10.28908029
1115,2138,71.9,0.178750365,1396,3532,4599,4.204948251,228.7,44359,19.1,40499,104,9,953,81,15.76454947,206,4.101396315,51.4,146,79.1,8479,1587,233,2231,36639,3.7,2417,10476,6.1,980,482,1388,5.935744892,15.1,9.0,1761,392,7.0,10.6,12968,38.3,114,2059,332,4805,2473,1699,1848,202.9,34,3801,7.0,1355,5384,8.8,947,6.136684958
768,1418,89.4,0.232796849,829,2747,2574,5.158944464,263.4,56151,24.5,50768,188,0,705,46,11.65231373,176,2.776933845,53.4,54,100.1,7252,896,95,698,45385,3.4,584,6110,9.2,674,311,726,3.915975572,14.7,10.2,1137,205,10.5,12.6,7507,36.5,16,949,17,2750,1842,1011,924,231.6,88,127,10.6,946,3265,8.2,622,4.057316517
1750,4640,78.1,0.226640035,2480,4861,9190,8.142852685,255.0,47342,21.3,43591,359,55,1571,7,30.31108111,368,8.583991325,50.9,32,86.2,12322,2746,292,2605,39840,4.0,3870,16803,6.2,1468,784,2184,9.545187902,16.3,9.3,2887,673,7.1,10.4,21012,38.5,127,2839,477,9558,4490,2790,2889,223.5,30,7739,10.6,2691,8555,9.6,1566,10.22915515
428,2655,79.6,0.424184655,970,1635,3802,6.384522884,237.6,90964,25.6,82303,487,7,1307,7,9.821506242,167,2.468972223,47.0,-199,87.0,7806,702,137,121,73642,3.0,443,6363,9.7,654,437,1076,4.970574034,11.0,8.0,1291,193,10.5,6.7,8267,37.6,50,796,217,3969,2209,832,987,217.1,489,50,10.0,1224,2989,11.2,506,3.817661895
244,1087,84.8,0.317809881,566,1342,2597,3.01640606,240.4,59281,30.6,54609,12,1,805,0,5.341436239,78,2.252547224,42.7,-18,92.8,4734,418,76,203,49937,3.2,307,3792,8.6,448,338,650,2.637264448,11.0,8.5,718,123,9.2,6.4,4919,32.3,31,488,54,2675,1532,471,528,219.1,23,23,11.4,712,1619,13.0,324,1.890132448
1054,4198,96.0,0.496214432,3023,4561,10988,13.69864408,302.7,60172,21.2,55766,29,30,2154,38,36.66125996,296,7.079846856,42.3,114,104.9,18544,1910,328,385,51360,3.3,3122,15920,6.6,1425,1140,3535,11.25273672,12.0,7.7,2620,522,7.4,6.6,21924,34.0,1549,2697,282,11284,4637,2343,2758,265.0,42,1191,8.1,2383,6738,17.1,1231,12.56164881
3695,8994,78.1,0.480871218,5956,11076,16441,17.27701592,255.0,44272,23.8,40263,316,26,3867,25,64.31223196,1003,18.21299739,54.4,270,86.2,20132,6140,715,786,36254,4.4,5998,34061,6.2,3614,1900,5679,20.25240658,18.0,9.9,5910,1497,7.1,10.8,44582,41.3,360,5768,401,17444,10563,5164,4727,223.5,14,22948,12.0,5864,18538,12.2,3366,21.70360722
1988,8773,81.7,0.42920958,4724,8581,14414,16.67210962,263.2,73316,18.2,68133,359,155,6314,25,52.54240606,541,9.397901425,43.9,187,90.3,23024,3328,1330,4273,62950,2.8,2642,29860,6.3,2467,1108,4407,20.02083853,11.1,6.2,4937,837,7.3,6.7,38082,34.8,839,5147,286,14955,6858,4851,6469,231.8,194,12448,7.0,3972,13117,8.6,1852,18.99252391
1292,2711,71.2,0.304289127,1866,4292,5686,5.62784247,217.1,38494,26.3,34724,30,2,1421,0,19.10694697,305,1.611828545,57.9,-83,77.2,5988,2265,96,221,30954,4.6,1647,11332,6.9,1201,705,1888,7.643381341,20.0,10.5,2022,516,7.6,11.4,14726,45.6,42,1884,37,5991,3945,1601,1623,196.7,28,8561,14.0,1936,6560,12.6,1187,6.884164905
6530,31629,87.1,1.265279118,17333,17644,72366,53.56465747,279.6,89161,23.9,85624,164,567,34277,39,207.1357076,2181,27.90310522,34.7,-969,96.2,116845,11153,4584,5018,82087,3.0,14670,110617,6.2,11427,6859,14850,54.32593961,10.1,6.3,18981,3299,7.2,5.9,139417,25.2,12240,17095,1745,74547,33686,17834,17426,243.8,158,3436,9.5,17612,38332,9.7,6960,78.81737301
550,1718,66.5,0.168861653,933,1370,3925,3.103438263,224.8,50364,27.5,45670,61,17,2652,3,10.94468896,137,1.886536597,47.1,-63,72.9,8597,1074,218,44,40976,3.6,992,7523,5.4,959,472,987,3.196425178,14.3,8.8,1145,274,6.2,7.3,9267,35.7,126,1088,159,4062,2537,1021,1258,199.9,26,150,7.6,1404,3547,10.3,662,3.506381558
1332,2518,71.2,0.309682273,1905,4135,5499,5.727588965,217.1,50531,24.7,46495,14,11,1428,8,19.4455938,244,1.640396197,51.5,81,77.2,14234,1665,194,178,42459,3.6,2364,11575,6.9,1358,649,1829,7.778850751,14.4,9.9,2113,416,7.6,11.5,14987,37.1,33,1687,74,5743,3691,1930,1665,196.7,13,441,13.2,1851,5959,11.2,1146,7.00617815
449,1108,105.6,0.151696821,759,1394,2156,4.27640561,276.9,42946,19.4,38912,84,7,463,2,6.111214773,389,2.499385711,47.4,-69,112.8,1231,663,309,31,34878,4.4,496,3873,8.5,328,137,849,3.4673559,17.1,10.5,666,170,9.6,11.6,5327,33.6,21,653,3707,2545,1058,516,693,256.7,79,52,12.5,726,1835,12.1,408,1.574757471
2017,5406,66.5,0.601921549,5306,6500,12295,11.0624664,224.8,50053,18.7,45604,11,56,3160,53,39.01326322,652,6.724718184,50.3,227,72.9,28014,3405,472,437,41155,3.5,4818,23455,5.4,2048,1070,5263,11.39392607,14.5,8.5,3879,832,6.2,8.6,33033,38.9,408,4461,795,12947,6098,4015,3707,199.9,16,3288,8.1,3284,11794,15.8,1993,12.49879163
299,1836,96.0,0.141549218,797,1341,3451,3.907650068,302.7,66884,27.0,61387,267,0,1060,8,10.45792373,107,2.019584119,44.0,-68,104.9,5975,513,99,152,55890,3.1,273,4852,6.6,494,362,759,3.209935024,10.6,7.4,958,150,7.4,6.2,6254,35.9,27,615,113,3558,1726,711,726,265.0,107,40,12.7,832,2135,12.7,361,3.583312883
544,2186,77.9,0.343477882,1247,2575,5049,6.290302568,218.2,58301,26.8,53500,224,6,942,47,11.8965602,131,2.482937571,44.3,-32,84.8,8983,779,92,206,48699,3.3,613,6909,6.5,790,580,1215,5.594614316,11.3,8.4,1279,226,6.9,7.9,9187,36.0,31,927,19,5180,2496,952,998,193.1,352,56,12.8,1199,3057,12.3,577,3.720040112
4325,8908,80.1,0.415369501,4407,11990,16277,15.84912198,265.2,42067,31.3,39037,235,37,3683,25,55.70736678,649,11.6628865,53.1,464,86.8,35518,5516,787,332,36007,4.3,4590,32814,6.0,4810,2111,4291,23.65883426,16.8,11.8,5905,1426,6.9,13.2,40770,39.5,305,4318,298,16926,12422,4352,4165,240.7,235,3825,13.6,6411,17429,9.9,3872,22.19451321
1013,2989,75.0,0.359904109,1522,3758,5196,6.891345715,207.6,47951,26.2,43559,125,9,1003,46,14.87467321,289,0.854772258,50.3,-67,79.9,9303,1445,306,123,39167,3.8,1041,9584,6.5,1225,554,1475,5.337214337,15.1,10.2,1661,363,7.0,10.6,12326,36.4,58,1377,205,5485,3272,1503,1349,188.2,56,2445,13.8,1660,4819,12.6,979,3.676747655
293,956,88.9,0.059817079,428,640,1828,1.830133767,285.7,34960,35.1,31557,85,10,514,32,4.898951535,82,1.510213212,47.3,56,95.4,3375,571,103,0,28154,5.3,579,3104,7.1,494,231,367,1.945735313,18.4,11.6,530,165,7.8,9.4,3828,30.4,58,366,204,1910,1272,337,367,262.5,184,78,7.6,708,1467,8.9,360,1.682271326
13834,47295,61.2,6.850207431,27883,39251,82662,75.90583386,191.3,48011,19.4,45355,260,213,29707,14,233.9449629,3917,7.403759547,48.4,1717,65.9,140765,20643,5676,5215,42699,3.2,17251,157234,6.7,13746,6598,27283,144.3387142,13.1,8.0,26930,5107,7.1,8.8,206650,36.6,5937,29211,1001,86579,38987,24323,27576,174.8,282,53058,9.5,23100,76043,13.0,12522,81.57974305
8443,26941,87.6,1.497102766,12326,26000,47942,62.61840252,287.0,52849,25.9,50576,33,15,14173,3,211.0810935,2410,39.33013726,50.9,-266,97.8,98302,10033,2342,1439,48303,3.4,7778,82839,6.7,9075,5309,10848,45.95273769,12.1,9.0,14927,2796,7.9,10.2,103923,39.2,633,12693,686,50352,27300,12076,11982,249.7,345,1945,11.2,14687,42139,9.9,7472,77.09039593
58323,281631,87.1,15.12661846,188940,203838,822769,640.3742265,279.6,103137,18.4,101744,148,15870,531701,50,2476.341207,25446,333.5861792,31.3,8622,96.2,828966,124443,88804,36417,100351,2.5,139234,1324243,6.2,96108,56227,192141,649.4754788,9.4,4.7,214392,33226,7.2,4.4,1666753,23.4,529210,236999,17973,848215,300276,232199,275770,243.8,10,185930,6.7,173977,414168,11.5,62250,942.2745642
1359,3407,81.7,0.16804566,1680,4507,6687,6.527523617,263.2,51176,30.9,46538,102,13,1736,47,20.57158958,261,3.67949977,48.0,-209,90.3,13822,1736,287,281,41900,3.9,1626,12140,6.3,1772,869,1391,7.838629862,14.3,10.5,2243,475,7.3,11.2,14910,35.4,43,1586,43,6948,4783,1741,1395,231.8,334,702,16.6,2233,5826,7.9,1270,7.436020468
6798,12985,72.9,1.5185328,8011,16921,24421,27.47821257,230.9,45558,24.8,41541,367,26,6896,6,93.36807387,1305,14.2597461,52.4,266,77.3,62281,8081,763,962,37524,3.8,8143,50250,7.6,5592,2625,7629,42.43214509,16.1,10.9,9116,1894,8.3,13.5,64623,39.6,532,7494,237,25726,15846,8323,7432,214.6,222,784,12.5,8401,26306,11.1,5491,28.56287885
869,2930,77.9,0.517142273,1682,3770,7140,9.470715699,218.2,58046,28.7,53359,10,39,1792,16,17.91152941,226,3.738325077,46.6,28,84.8,13274,1270,110,230,48672,3.4,1196,10580,6.5,1308,838,1837,8.423283468,12.0,8.9,1915,362,6.9,8.2,13832,38.8,68,1399,100,7366,4004,1359,1421,193.1,25,241,13.2,2073,4929,14.2,943,5.600913773
2393,3929,81.7,0.239174846,2159,6017,6572,9.290447933,263.2,35332,26.8,32144,165,3,1760,1,29.27898742,380,5.23693257,54.9,-279,90.3,20296,2765,140,1027,28956,4.2,4946,17559,6.3,2205,1014,1867,11.15651001,15.7,11.5,3298,745,7.3,13.6,21221,35.8,95,2281,30,6952,6055,2757,2405,231.8,70,657,14.5,3235,9638,7.3,2028,10.58348695
3797,8280,71.9,0.652325805,6366,13706,18585,15.34540222,228.7,45974,22.4,42114,288,10,4916,3,57.53063722,939,14.96750313,49.4,-28,79.1,28376,5980,581,1037,38254,4.1,4696,35612,6.1,3694,2053,6374,21.66171553,16.8,9.3,6207,1447,7.0,10.7,47325,34.0,541,5842,170,19524,10610,5668,5580,202.9,7,17647,12.1,5541,17581,13.2,3303,22.39501971
